,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,כמות המופעים של המילה לאורך השנים
accelerate,1,1,1,4,1,1,3,4,3,2,1,7,0,1,0,3,12,7,7,9,6,3,12,7,11,18,19,31,26,20
accelerated,0,2,3,1,3,2,3,6,5,1,0,2,0,1,2,1,4,3,1,6,6,3,26,29,102,51,72,95,165,21
accelerating,0,0,0,1,2,0,5,0,3,0,2,2,1,3,2,2,4,4,1,5,1,9,9,5,6,12,5,22,26,19
acceleration,4,12,0,5,12,8,13,3,5,3,14,17,1,4,4,18,4,20,39,14,6,20,10,18,13,15,23,22,62,27
accelerations,0,1,0,3,3,3,2,3,0,0,2,2,0,1,0,0,5,1,10,7,0,8,0,2,0,2,3,1,6,15
accept,2,6,2,7,9,7,11,5,14,16,11,12,2,8,4,5,17,14,7,10,12,29,15,12,17,18,28,23,20,29
acceptable,12,4,5,14,12,3,6,8,9,12,4,4,7,3,4,3,15,10,11,10,19,8,5,13,6,14,17,10,18,29
acceptance,0,12,2,3,4,1,3,1,0,1,3,5,5,2,7,4,12,14,4,12,31,30,40,24,27,28,31,22,41,24
accepted,2,9,6,7,14,14,10,15,10,8,15,18,22,10,8,6,14,17,13,15,25,31,23,34,43,29,44,42,36,29
accepting,0,5,1,3,0,1,2,2,3,6,3,9,6,1,5,2,2,2,1,1,7,3,3,4,13,3,9,12,8,22
accepts,2,2,1,2,3,0,4,3,5,3,1,9,4,1,0,0,2,8,3,10,10,8,1,9,3,3,13,10,20,22
access,16,31,14,51,16,30,39,10,19,24,13,14,20,12,34,15,39,53,43,24,46,59,73,76,81,106,136,171,191,29
accessed,0,1,3,2,2,2,6,0,1,1,2,1,1,0,1,1,4,6,0,0,2,3,2,4,5,2,16,9,21,17
accesses,1,1,0,0,1,1,1,0,3,0,1,1,0,0,4,0,1,1,4,1,1,1,2,2,12,3,15,2,9,10
accessible,0,5,1,2,5,5,3,1,7,2,2,1,4,3,3,6,6,10,5,3,4,2,7,10,5,7,14,18,23,25
accommodate,4,5,3,4,4,3,7,10,3,3,5,1,3,3,4,9,9,9,14,9,8,10,12,9,18,19,20,21,21,28
accompanied,1,2,2,1,1,1,2,2,2,1,3,4,5,6,2,4,3,2,2,2,0,6,6,2,1,1,4,4,5,21
accompaniment,0,0,0,1,3,0,0,0,0,0,1,0,0,0,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
accomplish,4,2,4,11,4,3,9,3,7,10,4,4,0,2,5,7,10,7,7,3,14,9,15,8,13,13,15,15,11,28
accomplished,10,20,13,14,15,13,10,16,12,7,11,11,13,7,10,6,7,10,19,16,13,12,13,13,24,41,18,18,25,29
accord,2,2,0,3,1,1,3,3,2,1,5,3,6,0,0,7,1,0,1,4,4,8,6,13,10,5,7,3,2,20
accordance,3,4,3,6,6,2,4,10,5,5,13,5,5,4,1,4,4,8,8,18,6,16,8,11,14,14,10,2,15,28
according,77,56,58,91,95,95,113,120,127,124,140,137,121,123,98,178,232,256,243,294,305,333,365,405,405,601,433,497,442,29
accordingly,17,11,6,8,8,8,12,8,11,15,13,16,9,5,13,14,15,24,19,26,18,34,22,31,19,48,49,45,58,29
account,19,28,39,65,56,32,55,66,62,80,118,77,96,65,57,111,131,150,156,132,144,201,200,162,194,216,162,144,157,29
accounted,1,4,4,8,6,3,7,9,11,8,10,4,7,6,5,8,5,3,5,13,10,14,8,10,11,9,9,8,5,28
accounting,3,0,0,5,4,3,7,7,3,3,9,6,4,12,8,2,9,3,5,11,7,17,15,19,22,23,24,11,23,27
accounts,1,7,4,9,3,12,12,12,9,9,15,23,14,12,9,26,16,15,41,38,28,35,49,33,42,40,22,48,23,28
accumulate,4,2,8,4,3,1,9,3,10,5,1,4,1,5,3,0,1,8,5,9,5,2,8,7,6,11,12,14,15,24
accumulated,10,8,11,13,6,11,10,9,5,4,6,12,8,6,6,0,13,6,10,14,13,15,10,7,19,31,30,18,29,28
accumulates,2,0,6,4,2,1,1,2,1,1,1,3,0,1,3,1,6,4,3,4,2,7,3,1,6,5,8,6,4,19
accumulating,2,1,8,2,2,2,3,3,4,0,1,3,2,7,0,1,3,3,3,1,2,1,2,4,9,9,4,11,10,22
accumulation,2,1,17,5,5,1,8,4,10,1,0,9,8,9,1,2,0,7,6,15,3,9,2,4,11,18,6,16,35,23
accumulator,2,0,1,4,1,0,2,1,1,0,0,0,0,23,16,0,2,0,0,1,0,2,0,1,0,1,0,1,2,8
accuracies,1,1,0,7,4,6,1,6,4,1,1,8,4,4,1,8,31,13,3,7,20,16,49,37,51,100,75,71,52,22
accuracy,40,34,61,117,139,88,97,129,126,101,69,117,82,53,57,149,251,314,198,383,391,442,589,655,700,971,831,1030,1061,29
accurate,16,28,24,34,53,38,40,56,81,58,46,49,49,32,41,65,91,110,100,145,145,188,149,256,237,243,240,322,337,29
accurately,16,13,12,20,20,33,32,37,31,21,19,14,22,20,16,30,47,42,57,44,61,89,54,81,86,110,113,111,89,29
ace,0,0,7,2,1,0,0,1,0,0,0,0,1,0,0,3,2,10,17,3,3,1,13,0,1,4,16,33,0,12
acetylcholine,1,0,1,23,2,2,2,7,9,1,0,0,0,0,0,1,0,3,1,6,0,1,0,7,1,0,1,0,0,9
achievable,2,1,0,5,15,5,3,7,7,2,6,6,13,9,6,15,28,22,16,11,14,9,28,15,27,24,41,44,69,27
achieve,32,31,30,43,65,65,53,54,61,64,40,66,47,56,53,81,106,148,115,132,172,164,228,247,307,399,358,463,486,29
achieved,47,56,47,66,89,68,70,91,86,77,94,68,66,79,60,117,119,124,107,151,131,160,182,204,209,225,267,306,307,29
achieves,6,8,5,10,13,23,12,9,17,20,20,21,16,27,19,38,37,61,39,89,101,131,161,141,215,266,236,370,372,29
achieving,4,4,7,6,11,9,13,6,15,6,9,8,9,9,13,14,19,35,24,24,34,37,43,35,60,73,58,76,100,29
acid,4,1,5,11,1,4,9,2,12,0,1,2,5,0,1,11,2,46,7,9,14,14,8,8,5,5,2,4,1,22
acids,3,1,8,10,0,0,7,0,23,0,1,0,0,0,0,7,5,30,9,4,13,25,4,5,3,4,1,3,7,18
ackley,4,16,11,3,3,6,5,5,1,0,3,2,2,3,1,1,0,0,0,0,2,0,1,1,3,1,0,1,1,14
acknowledge,6,10,5,12,8,18,14,5,6,5,7,10,6,11,7,7,9,11,17,14,10,9,14,19,17,19,24,35,38,29
acknowledged,2,2,2,1,5,5,6,4,3,3,0,2,2,1,1,3,1,3,4,3,3,3,3,4,2,2,1,3,9,23
acknowledgement,9,3,15,23,31,22,36,21,17,17,10,5,5,3,3,4,4,8,2,7,4,6,10,14,11,23,20,31,22,29
acknowledgements,22,26,36,52,56,59,49,44,39,34,41,34,29,26,22,26,38,27,32,24,33,33,54,62,68,77,66,85,78,29
acknowledges,2,1,3,9,6,2,4,4,4,4,7,5,2,1,2,5,3,4,1,2,2,1,3,4,10,12,22,31,22,25
acknowledgment,1,0,0,5,4,1,2,4,2,3,1,3,3,2,2,0,2,9,4,6,3,4,6,5,9,5,11,7,9,23
acknowledgments,4,19,15,15,15,14,20,32,32,26,36,37,42,43,32,52,70,65,71,88,65,75,90,96,125,146,147,157,175,29
acl,0,0,0,0,2,0,0,0,0,0,0,1,2,3,3,7,2,10,1,14,21,18,31,20,21,42,23,48,71,17
acm,6,4,9,5,6,12,10,12,20,15,16,21,21,16,10,28,59,57,46,55,74,97,173,235,271,249,285,397,405,29
acoust,1,6,6,5,7,9,8,5,6,3,7,2,8,8,1,7,10,3,2,2,3,1,1,0,0,3,1,0,0,20
acoustic,7,36,82,29,18,24,75,57,33,55,18,50,40,13,26,11,25,27,61,58,41,9,38,47,6,79,11,27,27,29
acoustical,1,17,2,7,3,3,5,1,1,2,1,4,16,1,5,1,2,2,2,2,3,2,0,24,4,0,2,1,1,19
acoustics,2,8,16,25,21,24,13,13,12,9,2,23,12,10,12,3,17,12,7,12,8,13,11,12,14,15,14,16,12,29
acquire,6,0,3,7,8,9,2,7,6,6,7,2,9,1,6,5,12,4,14,6,4,6,12,10,11,14,12,14,16,27
acquired,3,2,3,7,13,12,7,13,2,8,11,4,2,15,22,12,43,11,18,16,15,25,30,20,25,22,22,22,32,29
acquiring,2,0,1,0,2,0,1,2,0,2,2,1,0,1,0,1,7,2,1,2,4,2,18,8,9,13,9,5,5,17
acquisition,8,15,7,15,7,10,9,13,10,5,9,3,57,38,11,44,35,30,16,9,25,18,80,40,22,43,49,39,41,29
acrobot,0,0,0,0,0,0,0,0,6,11,1,1,0,0,0,0,0,5,0,0,0,6,1,11,2,16,0,0,0,7
across,52,50,60,79,87,52,66,62,87,97,87,72,92,71,68,99,176,181,130,264,255,264,381,385,341,477,453,613,544,29
acs,0,1,1,0,1,0,0,3,1,2,0,0,0,0,0,1,0,0,2,0,0,0,0,111,2,0,0,2,28,7
act,30,18,11,17,22,7,39,17,25,13,15,21,17,16,28,13,18,26,36,23,86,21,29,46,51,31,27,46,45,29
acta,2,3,0,2,2,1,1,0,1,0,2,1,2,0,0,0,1,6,1,0,2,2,4,4,5,7,8,10,3,16
acting,13,6,3,6,7,9,5,5,9,5,8,8,11,6,12,4,13,10,9,11,11,21,20,19,12,22,11,16,33,29
action,106,33,106,76,119,107,127,178,160,145,194,273,143,167,316,69,391,308,285,177,347,472,409,735,816,730,886,716,584,29
actions,57,6,37,54,60,49,66,72,87,58,100,133,112,93,200,28,247,179,209,96,231,270,285,392,425,412,390,342,285,29
activa,5,9,0,2,2,8,2,4,1,1,4,1,3,0,0,0,0,0,1,0,0,2,0,0,2,3,0,4,0,13
activate,13,7,3,7,6,9,6,11,7,3,8,8,1,17,9,9,10,7,6,12,7,5,8,4,9,15,8,2,10,28
activated,43,20,29,32,45,15,40,33,30,37,16,24,15,11,15,10,23,15,45,41,29,11,11,41,19,13,20,22,24,29
activates,5,6,2,1,3,1,6,6,3,2,4,2,3,1,4,9,7,2,5,4,2,1,3,2,4,2,5,0,0,23
activating,7,2,2,3,2,0,7,7,1,4,1,4,1,0,3,2,0,1,4,8,1,2,3,2,3,3,7,0,3,20
activation,172,315,124,167,204,180,228,175,169,93,83,99,75,58,72,40,70,78,67,117,36,49,168,112,44,137,119,174,100,29
activations,15,33,24,40,35,27,44,46,31,22,46,13,16,18,13,3,12,8,9,15,20,17,33,73,13,36,47,78,88,29
active,99,76,89,60,89,89,101,180,142,59,77,78,105,138,44,61,102,201,334,194,272,315,256,553,342,464,636,493,510,29
actively,1,3,6,2,1,1,4,9,6,1,6,3,5,2,3,0,4,11,11,8,6,28,10,17,17,23,13,8,22,24
activities,14,25,39,15,19,26,69,36,39,68,25,39,26,53,16,27,33,59,59,43,33,66,47,54,50,86,69,47,32,29
activity,317,139,179,138,222,250,269,167,216,145,188,173,165,137,66,150,226,176,309,213,235,241,301,337,215,264,309,413,193,29
actor,0,9,0,0,1,0,1,11,7,52,9,32,51,9,7,2,4,24,4,12,75,83,25,20,61,35,158,27,17,23
actors,0,3,0,0,0,0,0,0,0,1,0,0,2,1,0,1,6,1,1,5,2,19,0,4,5,26,20,3,4,12
acts,12,3,7,12,14,15,17,6,13,9,14,18,18,8,15,8,19,17,19,17,21,26,17,21,25,23,37,30,42,29
actual,73,58,64,58,85,78,89,91,107,61,74,52,61,43,45,57,90,121,91,88,84,98,125,105,124,153,144,126,105,29
actually,34,49,49,27,39,38,57,44,44,48,24,30,53,49,26,57,79,62,79,76,114,108,113,105,123,157,129,152,142,29
acuity,2,3,6,0,2,0,1,5,1,1,2,4,3,2,0,0,5,6,9,0,1,1,6,1,0,0,1,0,1,13
acute,0,0,1,0,5,3,2,4,0,1,0,1,0,0,0,5,4,4,0,6,4,2,2,8,2,3,0,2,2,16
acyclic,0,1,2,4,1,0,6,2,3,5,8,7,12,5,3,14,10,6,6,5,2,21,18,21,31,33,47,42,54,25
adaboost,0,0,0,0,0,0,0,0,11,0,37,70,88,9,67,81,202,59,26,57,121,75,59,41,84,25,34,33,20,20
adagrad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,17,61,17,45,5
adahedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,46,0,2
adam,0,0,1,0,2,1,5,5,0,4,1,1,1,1,2,33,2,1,9,7,8,2,12,26,11,17,21,21,63,18
adams,2,0,1,1,4,1,2,4,1,1,0,4,4,0,2,6,1,1,2,2,1,3,6,10,15,23,34,28,56,18
adapt,17,11,22,13,24,9,17,31,24,36,19,20,19,16,18,24,21,37,44,31,27,37,33,61,59,111,87,75,92,29
adaptable,0,2,2,1,2,3,2,0,3,9,3,0,2,2,5,0,0,0,3,0,4,1,0,4,2,0,3,2,2,18
adaptation,27,31,40,94,76,46,38,90,85,91,116,91,27,73,29,81,81,22,121,118,62,210,40,142,153,223,181,141,86,29
adapted,4,10,18,22,16,11,28,16,31,18,26,17,17,22,15,33,42,24,53,29,29,59,41,86,67,95,45,65,70,29
adapting,3,1,7,7,4,4,7,9,7,14,10,16,7,8,13,24,8,20,17,18,16,15,21,33,17,29,40,30,45,28
adaptive,112,145,93,197,200,106,184,127,140,223,95,130,52,84,58,86,99,168,67,100,172,136,149,207,340,405,433,353,637,29
adaptively,4,7,1,9,6,5,9,4,6,8,3,4,2,5,5,6,9,24,5,8,10,14,18,28,30,26,38,42,80,28
adaptivity,0,0,3,0,0,0,6,0,1,0,1,0,2,0,0,1,8,4,2,2,1,2,4,2,7,5,16,6,19,15
adaptor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,87,1,0,3,23,3,1,0,0,0,5
adapts,5,2,6,2,4,4,7,6,5,9,2,1,1,5,3,2,6,8,9,11,4,8,16,14,24,24,21,25,13,27
adclus,0,0,0,0,0,0,0,0,14,0,0,0,4,0,14,0,0,0,0,21,0,0,1,0,0,0,0,0,0,4
add,21,22,20,21,39,46,34,36,30,25,39,33,37,57,42,37,76,69,48,78,92,99,95,115,103,144,168,164,215,29
added,50,30,47,62,52,66,60,70,69,68,68,32,54,37,48,55,86,78,93,82,65,114,125,134,118,141,123,151,141,29
adding,34,18,15,39,40,59,40,61,34,28,30,33,46,42,37,45,81,89,54,95,96,99,113,158,135,162,145,181,185,29
addison,8,10,7,15,16,13,26,22,13,11,9,9,4,4,1,2,6,7,2,5,1,1,7,4,1,3,3,5,4,25
addition,81,66,70,104,86,83,105,88,86,77,88,91,69,62,51,92,157,133,131,187,186,213,236,260,274,321,290,337,407,29
additional,62,66,60,95,74,96,84,90,86,82,102,80,82,70,79,105,165,158,156,230,220,304,306,359,354,393,435,554,519,29
additionally,3,1,4,7,12,5,12,9,11,8,9,11,9,8,11,14,32,36,39,32,42,62,77,85,79,118,96,103,148,28
additions,8,0,1,0,0,1,5,0,5,0,0,2,0,0,0,0,0,2,2,1,2,4,1,6,1,2,6,7,6,13
additive,8,23,22,43,27,10,25,44,36,31,48,58,52,29,45,51,69,41,48,80,66,108,172,117,229,193,173,166,172,29
additively,0,0,2,0,0,2,0,0,0,0,4,1,2,1,1,2,6,3,3,3,1,1,3,11,3,7,8,7,4,16
address,61,47,53,41,41,49,118,41,42,30,39,36,44,31,52,40,91,114,100,109,98,135,179,169,165,194,196,201,225,29
addressable,20,16,4,5,1,0,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,6
addressed,17,5,9,16,24,10,17,17,16,25,20,10,20,9,12,20,38,33,26,27,29,50,57,54,45,57,63,44,61,29
addresses,18,17,23,10,10,8,11,9,8,9,12,4,18,8,12,10,24,23,28,32,16,34,54,34,38,38,36,41,49,29
addressing,5,4,7,5,1,4,1,5,5,2,1,5,8,5,5,7,6,5,6,10,12,7,20,24,19,23,29,20,28,26
adds,20,3,9,10,12,15,15,9,11,16,7,11,12,21,5,11,13,22,11,18,21,17,20,23,33,30,39,41,66,29
adelson,0,2,0,4,7,5,2,10,2,19,27,6,2,2,5,13,6,7,7,4,4,11,8,9,3,3,8,3,4,27
adequate,7,7,12,13,8,19,15,15,10,16,8,7,4,8,1,10,9,9,4,9,6,7,16,12,32,3,7,6,5,28
adequately,6,0,9,8,1,0,2,3,1,3,4,5,8,2,1,5,5,5,3,8,3,6,9,7,5,7,11,13,5,24
adex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,44,0,0,0,0,2
adjacency,0,1,0,0,1,0,1,1,2,2,3,4,0,2,0,12,15,8,36,23,18,21,17,45,18,64,65,98,54,19
adjacent,21,10,17,20,19,17,23,19,24,17,17,18,14,15,15,18,34,37,33,32,51,41,45,64,50,64,77,45,59,29
adjoint,0,0,26,29,6,1,1,0,0,0,1,1,1,4,0,2,5,6,7,5,4,2,3,11,14,10,11,11,9,18
adjust,13,8,13,21,21,19,29,15,11,6,7,11,5,7,11,9,13,20,11,20,22,21,33,16,20,32,27,32,25,29
adjustable,11,7,10,21,20,30,13,14,19,23,4,13,6,14,9,3,4,8,3,3,7,3,3,6,1,5,2,4,1,27
adjusted,21,10,27,29,21,19,22,20,21,17,23,18,12,17,18,16,16,24,13,15,23,24,24,49,13,68,34,49,26,29
adjusting,11,3,16,17,17,13,9,11,10,6,12,19,7,7,8,5,13,12,12,12,14,11,15,17,14,13,22,14,12,29
adjustment,18,5,12,11,7,7,8,12,2,7,3,0,3,0,3,5,10,12,8,9,8,12,8,5,30,33,7,33,9,27
adjustments,8,8,9,2,1,3,1,1,1,5,1,1,0,0,0,2,6,3,4,3,1,6,1,7,6,17,6,5,14,18
adjusts,4,1,3,13,10,1,5,4,5,2,2,5,1,1,6,1,5,8,6,1,5,3,8,4,4,9,7,6,4,23
adm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,0,2,18,1,3
administration,2,5,6,2,3,3,3,1,0,0,1,1,1,0,1,1,0,1,2,2,0,0,1,1,4,7,2,8,3,14
admissibility,0,0,0,8,0,0,0,0,0,0,0,2,1,3,0,5,8,0,0,0,1,0,0,1,0,16,3,5,2,9
admissible,2,1,1,24,4,3,1,5,5,1,10,13,10,10,1,8,23,30,15,10,27,14,5,19,13,46,22,39,23,24
admission,0,0,0,15,0,0,0,3,1,4,19,14,3,17,2,0,1,0,0,0,1,0,0,2,0,23,0,0,1,10
admit,0,0,1,1,0,0,1,3,6,0,4,4,0,0,3,2,1,7,1,8,8,11,13,20,17,34,18,32,34,17
admits,0,2,0,2,2,4,1,1,2,1,6,6,1,2,3,5,8,5,5,17,13,14,13,25,18,66,42,50,60,23
admixture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,11,1,0,10,25,32,8,7
adopt,8,4,2,8,5,7,10,5,2,8,10,11,21,10,5,20,30,26,22,31,22,42,54,49,52,86,79,106,71,29
adopted,6,5,6,12,9,8,6,12,12,8,7,16,8,6,8,17,14,17,14,26,23,22,32,29,40,43,39,39,57,29
adopting,2,3,1,5,3,2,2,3,2,3,3,2,4,2,2,2,2,9,3,9,7,5,6,9,11,13,14,12,12,28
adoption,1,0,1,0,1,1,1,1,1,0,0,3,0,0,0,0,3,3,2,1,2,0,2,5,2,5,8,3,8,12
adopts,0,0,0,2,2,3,2,0,1,1,0,1,1,1,1,3,1,6,1,1,3,4,4,5,5,9,5,11,13,15
adrian,1,0,3,0,0,0,3,0,3,0,2,1,0,5,0,2,0,1,0,2,1,1,3,3,7,1,5,5,11,13
ads,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,31,7,55,32,24,29,4,23,5,14,11
adult,3,2,11,2,8,3,11,5,5,2,6,7,1,9,2,3,14,8,15,9,8,12,13,33,10,12,19,17,21,28
adults,2,0,1,1,1,2,4,4,1,0,4,2,0,1,3,1,1,2,5,3,3,3,22,0,2,1,4,1,2,16
advan,1,2,0,0,2,3,0,1,1,1,2,1,2,1,2,0,0,0,0,5,3,4,1,1,1,5,9,5,0,12
advance,5,3,8,11,11,10,10,8,10,4,14,22,6,4,8,12,17,24,15,23,25,27,35,40,69,59,69,52,56,29
advanced,37,23,16,11,25,6,19,14,24,22,12,19,17,12,10,17,15,16,18,23,19,19,21,21,29,42,39,53,51,29
advances,4,7,38,64,91,95,129,134,131,124,87,93,116,137,75,136,162,189,174,174,166,198,296,332,320,396,441,438,534,29
advantage,36,18,40,55,49,47,52,93,77,68,52,63,59,64,80,72,122,99,102,114,173,192,154,217,244,236,217,251,228,29
advantageous,4,1,8,4,2,5,7,4,10,8,3,8,9,8,3,7,9,6,9,10,17,16,21,18,21,25,14,14,18,28
advantages,32,24,33,29,29,39,26,27,55,29,27,24,30,23,28,33,43,47,50,49,61,53,74,91,70,121,86,106,111,29
adversarial,0,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,4,22,0,6,25,10,23,28,45,17,83,165,121,14
adversarially,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,7,0,3,7,3,3,24,9,10,10
adversaries,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,13,8,35,50,19,7
adversary,0,0,8,21,35,0,3,0,3,0,0,0,13,0,2,0,10,13,3,39,9,12,27,49,92,42,168,125,80,20
adverse,1,0,0,2,1,0,0,1,0,1,1,2,1,2,1,0,2,1,1,2,2,0,2,22,3,5,1,9,1,11
adversely,1,0,1,0,1,2,1,1,1,2,0,0,0,1,1,1,3,1,2,4,0,4,0,6,2,5,5,6,3,12
advertisement,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,29,5,4,1,4,9,9,8,7,6,9
advertisements,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,24,2,4,4,3,3,1,4,2,1,8
advertiser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,4,4,0,21,7,6,6
advertisers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,0,1,3,1,25,9,9,5
advertising,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,4,0,21,14,9,20,19,21,24,16,11
advice,2,3,1,2,4,7,2,2,5,2,8,0,2,2,3,2,10,6,3,7,21,3,15,4,134,20,28,30,20,27
advise,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,4,0,0,38,1,2,4
advocate,0,1,0,0,0,2,2,1,1,0,2,0,1,1,1,2,3,0,3,2,2,4,6,3,2,14,3,1,4,15
advocated,2,0,1,4,1,0,2,2,2,1,1,1,3,3,0,3,2,5,1,1,2,1,4,5,2,7,14,4,6,18
aerial,0,0,0,0,0,1,1,4,0,3,1,9,2,0,0,0,1,10,2,1,0,1,0,2,2,1,6,0,5,10
affect,16,13,21,29,18,18,29,18,22,13,23,25,27,10,14,20,43,39,47,35,47,55,68,68,45,77,84,95,93,29
affected,12,3,4,9,14,8,11,10,14,15,13,13,17,6,6,12,29,13,26,15,31,41,37,39,37,51,45,30,24,29
affecting,8,7,2,4,8,4,4,1,5,9,2,4,6,4,3,6,12,2,6,4,12,9,10,13,10,6,14,11,13,28
affects,6,8,2,11,12,4,8,8,13,7,4,11,5,6,8,9,13,19,14,21,23,31,25,24,32,37,34,45,38,29
